h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.78500e+00,5.12075e-01,9.99858e-01,7.01411e-07,1.40842e-04
1.78500e+00,5.12250e-01,9.99864e-01,5.82189e-07,1.35390e-04
1.78500e+00,5.12425e-01,9.99870e-01,4.92583e-07,1.29375e-04
1.78500e+00,5.12600e-01,9.99877e-01,4.22158e-07,1.22748e-04
1.78500e+00,5.12775e-01,9.99884e-01,3.65181e-07,1.15659e-04
1.78500e+00,5.12950e-01,9.99891e-01,3.18203e-07,1.08260e-04
1.78500e+00,5.13125e-01,9.99899e-01,2.79007e-07,1.00673e-04
1.78500e+00,5.13300e-01,9.99907e-01,2.46118e-07,9.29888e-05
1.78500e+00,5.13475e-01,9.99915e-01,2.18553e-07,8.52776e-05
1.78500e+00,5.13650e-01,9.99922e-01,1.95701e-07,7.76022e-05
1.78500e+00,5.13825e-01,9.99930e-01,1.77236e-07,7.00298e-05
1.78500e+00,5.14000e-01,9.99937e-01,1.63036e-07,6.26411e-05
1.79000e+00,5.00000e-01,9.99591e-01,6.09198e-06,4.02695e-04
1.79000e+00,5.00175e-01,9.99818e-01,6.45320e-06,1.75492e-04
1.79000e+00,5.00350e-01,9.99873e-01,5.90863e-06,1.20762e-04
1.79000e+00,5.00525e-01,9.99893e-01,5.30945e-06,1.01295e-04
1.79000e+00,5.00700e-01,9.99901e-01,4.84870e-06,9.40909e-05
1.79000e+00,5.00875e-01,9.99902e-01,4.60174e-06,9.29973e-05
1.79000e+00,5.01050e-01,9.99898e-01,4.68648e-06,9.69703e-05
1.79000e+00,5.01225e-01,9.99884e-01,5.49122e-06,1.10137e-04
1.79000e+00,5.01400e-01,9.99830e-01,9.03435e-06,1.60502e-04
1.79000e+00,5.01575e-01,9.99085e-01,5.55185e-05,8.59390e-04
1.79000e+00,5.01750e-01,9.99431e-01,2.58306e-05,5.42824e-04
1.79000e+00,5.01925e-01,9.99872e-01,3.07924e-06,1.24782e-04
1.79000e+00,5.02100e-01,9.99911e-01,1.38412e-06,8.72448e-05
1.79000e+00,5.02275e-01,9.99924e-01,9.48011e-07,7.54014e-05
1.79000e+00,5.02450e-01,9.99930e-01,7.61268e-07,6.90251e-05
