h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.78500e+00,5.12075e-01,9.43341e-01,6.74912e-05,5.65918e-02
1.78500e+00,5.12250e-01,8.90495e-01,5.60093e-04,1.08945e-01
1.78500e+00,5.12425e-01,9.68642e-01,3.67568e-04,3.09905e-02
1.78500e+00,5.12600e-01,9.71501e-01,6.69985e-05,2.84324e-02
1.78500e+00,5.12775e-01,9.68459e-01,2.79474e-05,3.15130e-02
1.78500e+00,5.12950e-01,9.66862e-01,1.62286e-05,3.31215e-02
1.78500e+00,5.13125e-01,9.66517e-01,1.13511e-05,3.34717e-02
1.78500e+00,5.13300e-01,9.67259e-01,8.91714e-06,3.27324e-02
1.78500e+00,5.13475e-01,9.68829e-01,7.51806e-06,3.11632e-02
1.78500e+00,5.13650e-01,9.70853e-01,6.62379e-06,2.91402e-02
1.78500e+00,5.13825e-01,9.72951e-01,6.05345e-06,2.70434e-02
1.78500e+00,5.14000e-01,9.74835e-01,5.79929e-06,2.51591e-02
1.79000e+00,5.00000e-01,9.32361e-01,1.09859e-06,6.76376e-02
1.79000e+00,5.00175e-01,9.31978e-01,1.00895e-06,6.80205e-02
1.79000e+00,5.00350e-01,9.31727e-01,8.92614e-07,6.82720e-02
1.79000e+00,5.00525e-01,9.31496e-01,7.40601e-07,6.85034e-02
1.79000e+00,5.00700e-01,9.31051e-01,5.40386e-07,6.89485e-02
1.79000e+00,5.00875e-01,9.29837e-01,3.03077e-07,7.01626e-02
1.79000e+00,5.01050e-01,9.27444e-01,4.49881e-07,7.25560e-02
1.79000e+00,5.01225e-01,9.34052e-01,2.26267e-06,6.59462e-02
1.79000e+00,5.01400e-01,9.40906e-01,2.16486e-06,5.90917e-02
1.79000e+00,5.01575e-01,9.42690e-01,1.64898e-06,5.73082e-02
1.79000e+00,5.01750e-01,9.43886e-01,1.29860e-06,5.61124e-02
1.79000e+00,5.01925e-01,9.45047e-01,1.04490e-06,5.49524e-02
1.79000e+00,5.02100e-01,9.46133e-01,8.49424e-07,5.38664e-02
1.79000e+00,5.02275e-01,9.47024e-01,7.07025e-07,5.29758e-02
1.79000e+00,5.02450e-01,9.47590e-01,6.37901e-07,5.24092e-02
1.79000e+00,5.02625e-01,9.47726e-01,6.88895e-07,5.22728e-02
1.79000e+00,5.02800e-01,9.47373e-01,9.41191e-07,5.26266e-02
1.79000e+00,5.02975e-01,9.46525e-01,1.52808e-06,5.34734e-02
1.79000e+00,5.03150e-01,9.45227e-01,2.67914e-06,5.47702e-02
1.79000e+00,5.03325e-01,9.43529e-01,4.84002e-06,5.64665e-02
1.79000e+00,5.03500e-01,9.41413e-01,9.03408e-06,5.85781e-02
1.79000e+00,5.03675e-01,9.38627e-01,1.81835e-05,6.13548e-02
1.79000e+00,5.03850e-01,9.34020e-01,4.38591e-05,6.59362e-02
1.79000e+00,5.04025e-01,9.19835e-01,1.70636e-04,7.99941e-02
1.79000e+00,5.04200e-01,7.65827e-01,6.76268e-03,2.27411e-01
1.79000e+00,5.04375e-01,9.47711e-01,1.46282e-04,5.21426e-02
1.79000e+00,5.04550e-01,9.45336e-01,3.46484e-05,5.46295e-02
1.79000e+00,5.04725e-01,9.43664e-01,1.32415e-05,5.63232e-02
1.79000e+00,5.04900e-01,9.42639e-01,5.97698e-06,5.73550e-02
1.79000e+00,5.05075e-01,9.42004e-01,2.83947e-06,5.79935e-02
1.79000e+00,5.05250e-01,9.41625e-01,1.32091e-06,5.83737e-02
1.79000e+00,5.05425e-01,9.41431e-01,5.58954e-07,5.85684e-02
1.79000e+00,5.05600e-01,9.41379e-01,1.94856e-07,5.86210e-02
1.79000e+00,5.05775e-01,9.41441e-01,6.26137e-08,5.85589e-02
1.79000e+00,5.05950e-01,9.41599e-01,8.96689e-08,5.84010e-02
1.79000e+00,5.06125e-01,9.41837e-01,2.78519e-07,5.81628e-02
1.79000e+00,5.06300e-01,9.42132e-01,7.88492e-07,5.78675e-02
1.79000e+00,5.06475e-01,9.42403e-01,2.58728e-06,5.75940e-02
1.79000e+00,5.06650e-01,9.41898e-01,1.96993e-05,5.80828e-02
1.79000e+00,5.06825e-01,9.43985e-01,1.11212e-04,5.59042e-02
1.79000e+00,5.07000e-01,9.45540e-01,9.81695e-06,5.44497e-02
1.79000e+00,5.07175e-01,9.46476e-01,5.39306e-06,5.35185e-02
1.79000e+00,5.07350e-01,9.47658e-01,5.11316e-06,5.23371e-02
1.79000e+00,5.07525e-01,9.48982e-01,6.58587e-06,5.10110e-02
1.79000e+00,5.07700e-01,9.50119e-01,1.06746e-05,4.98699e-02
1.79000e+00,5.07875e-01,9.49689e-01,2.26041e-05,5.02887e-02
1.79000e+00,5.08050e-01,9.39413e-01,7.66487e-05,6.05106e-02
1.79000e+00,5.08225e-01,9.36909e-01,1.08124e-04,6.29831e-02
1.79000e+00,5.08400e-01,9.59022e-01,2.23172e-05,4.09562e-02
1.79000e+00,5.08575e-01,9.63205e-01,9.08887e-06,3.67861e-02
1.79000e+00,5.08750e-01,9.64448e-01,5.86198e-06,3.55461e-02
1.79000e+00,5.08925e-01,9.64708e-01,4.66962e-06,3.52877e-02
1.79000e+00,5.09100e-01,9.64533e-01,4.01034e-06,3.54632e-02
1.79000e+00,5.09275e-01,9.64189e-01,3.50765e-06,3.58071e-02
1.79000e+00,5.09450e-01,9.63818e-01,3.06194e-06,3.61791e-02
1.79000e+00,5.09625e-01,9.63485e-01,2.65132e-06,3.65126e-02
1.79000e+00,5.09800e-01,9.63214e-01,2.27498e-06,3.67838e-02
1.79000e+00,5.09975e-01,9.63006e-01,1.93654e-06,3.69921e-02
1.79000e+00,5.10150e-01,9.62849e-01,1.63944e-06,3.71490e-02
1.79000e+00,5.10325e-01,9.62727e-01,1.38630e-06,3.72719e-02
1.79000e+00,5.10500e-01,9.62618e-01,1.17933e-06,3.73811e-02
1.79000e+00,5.10675e-01,9.62500e-01,1.02099e-06,3.74989e-02
1.79000e+00,5.10850e-01,9.62349e-01,9.14893e-07,3.76498e-02
1.79000e+00,5.11025e-01,9.62138e-01,8.66862e-07,3.78610e-02
1.79000e+00,5.11200e-01,9.61835e-01,8.86442e-07,3.81639e-02
1.79000e+00,5.11375e-01,9.61403e-01,9.89419e-07,3.85964e-02
1.79000e+00,5.11550e-01,9.60793e-01,1.20238e-06,3.92058e-02
1.79000e+00,5.11725e-01,9.59945e-01,1.57179e-06,4.00534e-02
1.79000e+00,5.11900e-01,9.58774e-01,2.18401e-06,4.12238e-02
1.79000e+00,5.12075e-01,9.57154e-01,3.21474e-06,4.28426e-02
1.79000e+00,5.12250e-01,9.54871e-01,5.07124e-06,4.51237e-02
1.79000e+00,5.12425e-01,9.51470e-01,8.89319e-06,4.85208e-02
1.79000e+00,5.12600e-01,9.45644e-01,1.89438e-05,5.43373e-02
1.79000e+00,5.12775e-01,9.31811e-01,6.17264e-05,6.81275e-02
1.79000e+00,5.12950e-01,9.08111e-01,3.98017e-04,9.14910e-02
1.79000e+00,5.13125e-01,9.75197e-01,9.70951e-05,2.47060e-02
1.79000e+00,5.13300e-01,9.72329e-01,2.96224e-05,2.76414e-02
1.79000e+00,5.13475e-01,9.71304e-01,1.53965e-05,2.86806e-02
1.79000e+00,5.13650e-01,9.72036e-01,1.01580e-05,2.79535e-02
1.79000e+00,5.13825e-01,9.73501e-01,7.58051e-06,2.64919e-02
1.79000e+00,5.14000e-01,9.75118e-01,6.09894e-06,2.48758e-02
1.79500e+00,5.00000e-01,9.33297e-01,1.75714e-06,6.67015e-02
1.79500e+00,5.00175e-01,9.33097e-01,1.68092e-06,6.69009e-02
1.79500e+00,5.00350e-01,9.33135e-01,1.58909e-06,6.68633e-02
1.79500e+00,5.00525e-01,9.33389e-01,1.48316e-06,6.66100e-02
1.79500e+00,5.00700e-01,9.33832e-01,1.36379e-06,6.61668e-02
1.79500e+00,5.00875e-01,9.34430e-01,1.22985e-06,6.55685e-02
1.79500e+00,5.01050e-01,9.35129e-01,1.07644e-06,6.48703e-02
1.79500e+00,5.01225e-01,9.35823e-01,8.90788e-07,6.41761e-02
1.79500e+00,5.01400e-01,9.36283e-01,6.43406e-07,6.37166e-02
1.79500e+00,5.01575e-01,9.35966e-01,2.90426e-07,6.40337e-02
1.79500e+00,5.01750e-01,9.35504e-01,2.34024e-07,6.44957e-02
1.79500e+00,5.01925e-01,9.41842e-01,1.34909e-06,5.81564e-02
1.79500e+00,5.02100e-01,9.45275e-01,1.48332e-06,5.47236e-02
1.79500e+00,5.02275e-01,9.46573e-01,1.38548e-06,5.34251e-02
1.79500e+00,5.02450e-01,9.47254e-01,1.34405e-06,5.27443e-02
1.79500e+00,5.02625e-01,9.47482e-01,1.39911e-06,5.25169e-02
1.79500e+00,5.02800e-01,9.47253e-01,1.57909e-06,5.27452e-02
1.79500e+00,5.02975e-01,9.46591e-01,1.92059e-06,5.34066e-02
1.79500e+00,5.03150e-01,9.45569e-01,2.46990e-06,5.44289e-02
1.79500e+00,5.03325e-01,9.44290e-01,3.28829e-06,5.57070e-02
