h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorvance
1.78500e+00,5.12075e-01,9.99852e-01,1.08115e-06,1.47168e-04
1.78500e+00,5.12250e-01,9.99854e-01,8.99133e-07,1.45587e-04
1.78500e+00,5.12425e-01,9.99856e-01,7.69172e-07,1.43304e-04
1.78500e+00,5.12600e-01,9.99860e-01,6.68355e-07,1.39631e-04
1.78500e+00,5.12775e-01,9.99865e-01,5.85421e-07,1.34477e-04
1.78500e+00,5.12950e-01,9.99871e-01,5.14563e-07,1.28032e-04
1.78500e+00,5.13125e-01,9.99879e-01,4.52705e-07,1.20610e-04
1.78500e+00,5.13300e-01,9.99887e-01,3.98212e-07,1.12549e-04
1.78500e+00,5.13475e-01,9.99895e-01,3.50230e-07,1.04164e-04
1.78500e+00,5.13650e-01,9.99904e-01,3.08326e-07,9.57159e-05
1.78500e+00,5.13825e-01,9.99912e-01,2.72269e-07,8.74011e-05
1.78500e+00,5.14000e-01,9.99920e-01,2.41890e-07,7.93562e-05
1.79000e+00,5.00000e-01,9.96086e-01,1.15061e-05,3.90200e-03
1.79000e+00,5.00175e-01,9.99588e-01,8.56237e-06,4.03367e-04
1.79000e+00,5.00350e-01,9.99808e-01,8.60107e-06,1.83841e-04
1.79000e+00,5.00525e-01,9.99866e-01,7.78572e-06,1.26531e-04
1.79000e+00,5.00700e-01,9.99888e-01,6.98140e-06,1.05019e-04
1.79000e+00,5.00875e-01,9.99897e-01,6.38701e-06,9.67310e-05
1.79000e+00,5.01050e-01,9.99898e-01,6.08963e-06,9.55301e-05
1.79000e+00,5.01225e-01,9.99893e-01,6.25245e-06,1.00656e-04
1.79000e+00,5.01400e-01,9.99875e-01,7.44388e-06,1.17789e-04
1.79000e+00,5.01575e-01,9.99801e-01,1.27944e-05,1.86452e-04
1.79000e+00,5.01750e-01,9.98423e-01,1.05685e-04,1.47150e-03
1.79000e+00,5.01925e-01,9.99494e-01,2.40127e-05,4.81789e-04
1.79000e+00,5.02100e-01,9.99870e-01,3.48735e-06,1.26600e-04
1.79000e+00,5.02275e-01,9.99910e-01,1.66068e-06,8.79382e-05
1.79000e+00,5.02450e-01,9.99924e-01,1.17039e-06,7.52643e-05
1.79000e+00,5.02625e-01,9.99930e-01,9.54893e-07,6.85910e-05
